PTN核心链路名称,地市,备注,日期,省,链路带宽(10GE/40GE),链路日峰值利用率(填百分数),链路日峰值流速(Mb),链路日忙时均值利用率(填百分数),链路日忙时均值流速(Mb),分类
	#@!JIZCORELINK(5)$:8013-孟州-主L2/L3-1-子架1-6-TPA1EX8-5(PORT-5)-8014-凤凰路-备L2/L3-2-子架1-6-TPA1EX8-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.12,核心链路
	#@!JIZCORELINK(5)$:8014-凤凰路-备L2/L3-2-子架1-6-TPA1EX8-2(PORT-2)-8013-孟州-主L2/L3-1-子架1-6-TPA1EX8-2(PORT-2),焦作,0.0,20200302,河南,10,0.15%,15.0,0.15%,14.93,核心链路
	#@!JIZCORELINK(5)$:LTE骨干调度环10-焦作市:8013-孟州-主L2/L3-1-子架1-5-TPA1EX8-1(PORT-1)-8014-凤凰路-备L2/L3-2-子架1-5-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,2.37%,237.0,2.26%,225.97,核心链路
	#@!JIZCORELINK(5)$:LTE骨干调度环10-焦作市:8014-凤凰路-L2/L3-子架1-6-TPA1EX8-1(PORT-1)-8013-孟州-L2/L3-子架1-6-TPA1EX8-1(PORT-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,1.18,核心链路
	#@!JIZCORELINK(61)$焦作市核心调度环4-生产楼核心二-高新核心二:1007-生产楼核心2替换-子架1-9-TPA1EX8S-4(1006-高新8-EX2-1)-1006-高新核心2-8-82EX2-1(1007-生产楼11-EX2-1),焦作,0.0,20200302,河南,10,1.57%,156.78,1.34%,133.88,核心链路
	#@!JIZCORELINK(61)$焦作市核心调度环4-生产楼核心二-高新核心二:1014-生产楼核心4-子架1-9-TPA1EX8S-3(新增到1016-高新8-2对接)-1016-高新核心4-8-82EX2-2(新增到1014-生产楼13-2对接),焦作,0.0,20200302,河南,10,1.38%,138.0,1.11%,110.56,核心链路
	#@!JIZCORELINK(63)$焦作市核心调度环4-生产楼核心二-高新核心二:1007-生产楼核心2替换-子架1-3-TPA1EX8S-3(1016-高新7-EX2-1)-1016-高新核心4-7-82EX2-1(1007-生产楼-6-EX2-1),焦作,0.0,20200302,河南,10,7.76%,775.73,7.03%,702.89,核心链路
	#@!JIZCORELINK(65)$:8001-高新-L2/L3-子架1-0(100GE16/0/0)-8003-生产楼-L2/L3-子架1-0(100GE16/0/0),焦作,0.0,20200302,河南,100,0.00%,0.1,0.00%,0.1,核心链路
	#@!JIZCORELINK(65)$:8001-高新-L2/L3-子架1-0(100GE9/0/0)-8003-生产楼-L2/L3-子架1-0(100GE9/0/0),焦作,0.0,20200302,河南,100,0.01%,11.11,0.01%,10.91,核心链路
	#@!JIZCORELINK(65)$:8001-高新-L2/L3-子架1-2(GigabitEthernet6/0/2)-8003-生产楼-L2/L3-子架1-2(GigabitEthernet6/0/2),焦作,0.0,20200302,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(65)$:8003-生产楼-L2/L3-子架1-1(GigabitEthernet6/0/1)-8001-高新-L2/L3-子架1-1(GigabitEthernet6/0/1),焦作,0.0,20200302,河南,10,0.01%,0.5,0.01%,0.5,核心链路
	#@!JIZCORELINK(65)$:8003-生产楼-L2/L3-子架1-1(GigabitEthernet8/0/1)-8001-高新-L2/L3-子架1-1(GigabitEthernet8/0/1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,1.0,核心链路
	#@!JIZCORELINK(65)$:焦作市核心调度环5-市区:TNL-L2/L3-PTN6900-16-2-子架1-0(GigabitEthernet6/0/0)-FSL-L2/L3-PTN6900-16-2-子架1-0(GigabitEthernet6/0/0),焦作,0.0,20200302,河南,10,6.76%,675.84,6.64%,664.32,核心链路
	#@!JIZCORELINK(65)$:焦作市核心调度环7-郊县:TNL-L2/L3-PTN6900-16-2-子架1-0(GigabitEthernet8/0/0)-FSL-L2/L3-PTN6900-16-2-子架1-0(GigabitEthernet8/0/0),焦作,0.0,20200302,河南,10,0.81%,81.37,0.80%,79.92,核心链路
	#@!JIZCORELINK(66)$:8000-高新-L3-子架1-1-TPA1EX8S-2(PORT-2)-8001-高新-L2/L3-子架1-1(GigabitEthernet1/0/1),焦作,0.0,20200302,河南,10,0.01%,1.02,0.01%,1.02,核心链路
	#@!JIZCORELINK(66)$:8000-高新-L3-子架1-1-TPA1EX8S-3(TO-8001-1/0/2)-8001-高新-L2/L3-子架1-2(GigabitEthernet1/0/2),焦作,0.0,20200302,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(66)$:8000-高新-L3-子架1-1-TPA1EX8S-4(TO-8001-1/0/3)-8001-高新-L2/L3-子架1-3(GigabitEthernet1/0/3),焦作,0.0,20200302,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(66)$:8000-高新-L3-子架1-1-TPA1EX8S-5(TO-8001-1/0/4)-8001-高新-L2/L3-子架1-4(GigabitEthernet1/0/4),焦作,0.0,20200302,河南,10,0.00%,0.4,0.00%,0.4,核心链路
	#@!JIZCORELINK(66)$:8000-高新-L3-子架1-9-TPA2EH2-1(PORT-1)-8001-高新-L2/L3-子架1-0(100GE4/0/0),焦作,0.0,20200302,河南,100,0.01%,11.01,0.01%,10.81,核心链路
	#@!JIZCORELINK(67)$:8002-生产楼-L3-子架1-1-TPA1EX8S-2(PORT-2)-8003-生产楼-L2/L3-子架1-1(GigabitEthernet1/0/1),焦作,0.0,20200302,河南,10,0.01%,1.22,0.01%,1.42,核心链路
	#@!JIZCORELINK(67)$:8002-生产楼-L3-子架1-1-TPA1EX8S-3(PORT-3)-8003-生产楼-L2/L3-子架1-2(GigabitEthernet1/0/2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.47,核心链路
	#@!JIZCORELINK(67)$:8002-生产楼-L3-子架1-1-TPA1EX8S-4(PORT-4)-8003-生产楼-L2/L3-子架1-3(GigabitEthernet1/0/3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.47,核心链路
	#@!JIZCORELINK(67)$:8002-生产楼-L3-子架1-1-TPA1EX8S-5(PORT-5)-8003-生产楼-L2/L3-子架1-4(GigabitEthernet1/0/4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.47,核心链路
	#@!JIZCORELINK(67)$:8002-生产楼-L3-子架1-9-TPA2EH2-1(PORT-1)-8003-生产楼-L2/L3-子架1-0(100GE4/0/0),焦作,0.0,20200302,河南,100,15.00%,15000.0,12.26%,12259.47,核心链路
	#@!JIZCORELINK(6)$:8000-高新-L3-子架1-15-TPA1EX8S-1(OTN8001-高新027-TQX-4)-8014-凤凰路-备L2/L3-2-子架1-4-TPA1EX8-1(OTN4000-温县113-TDX-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.84,核心链路
	#@!JIZCORELINK(6)$:8000-高新-L3-子架1-15-TPA1EX8S-2(OTN8010-高新021-TQX-3)-8014-凤凰路-备L2/L3-2-子架1-4-TPA1EX8-2(OTN5002-凤凰路020-TQX-4),焦作,0.0,20200302,河南,10,0.07%,7.0,0.08%,7.74,核心链路
	#@!JIZCORELINK(6)$:8014-凤凰路-备L2/L3-2-子架1-4-TPA1EX8-3(OTN5002-凤凰路020-TQX-3)-8000-高新-L3-子架1-15-TPA1EX8S-3(OTN8010-高新020-TQX-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.01%,0.6,核心链路
	#@!JIZCORELINK(6)$:8014-凤凰路-备L2/L3-2-子架1-4-TPA1EX8-4(OTN5002-凤凰路022-TQX-1)-8000-高新-L3-子架1-15-TPA1EX8S-4(OTN8010-高新024-TQX-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.36,核心链路
	#@!JIZCORELINK(6)$:8014-凤凰路-备L2/L3-2-子架1-4-TPA1EX8-5(OTN5002-凤凰路022-TQX-2)-8000-高新-L3-子架1-15-TPA1EX8S-5(OTN8010-高新024-TQX-2),焦作,0.0,20200302,河南,10,0.02%,2.0,0.01%,0.7,核心链路
	#@!JIZCORELINK(68)$:8002-生产楼-L3-子架1-10-TPA2EH2-1(TO-GX-PTN6900-4/0/0)-8000-高新-L3-子架1-10-TPA2EH2-1(TO-SCL-PTN6900-4/0/0),焦作,0.0,20200302,河南,100,0.01%,10.0,0.01%,5.64,核心链路
	#@!JIZCORELINK(68)$:8002-生产楼-L3-子架1-19-TPA1EX8S-1(PORT-1)-8000-高新-L3-子架1-19-TPA1EX8S-1(PORT-1),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(68)$:8002-生产楼-L3-子架1-26-TPA2EH2-1(TO-GX-PTN6900-15/0/0)-8000-高新-L3-子架1-26-TPA2EH2-1(TO-SCL-PTN6900-15/0/0),焦作,0.0,20200302,河南,100,0.01%,10.0,0.01%,7.98,核心链路
	#@!JIZCORELINK(68)$:8002-生产楼-L3-子架1-3-TPA1EX8S-2(PORT-2)-8000-高新-L3-子架1-3-TPA1EX8S-2(PORT-2),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(68)$:8002-生产楼-L3-子架1-3-TPA1EX8S-3(PORT-3)-8000-高新-L3-子架1-3-TPA1EX8S-3(PORT-3),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(68)$:8002-生产楼-L3-子架1-3-TPA1EX8S-4(PORT-4)-8000-高新-L3-子架1-3-TPA1EX8S-4(PORT-4),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(68)$:8002-生产楼-L3-子架1-3-TPA1EX8S-5(PORT-5)-8000-高新-L3-子架1-3-TPA1EX8S-5(PORT-5),焦作,0.0,20200302,河南,10,0.01%,1.0,0.00%,0.0,核心链路
	#@!JIZCORELINK(69)$:8002-生产楼-L3-子架1-31-TPA1EX8S-1(PORT-1)-8020-锦都花城-主L2/L3-1-子架1-23-TPA1EX8-1(OTN4002-锦都花城021-TQX-2),焦作,0.0,20200302,河南,10,17.00%,1700.0,14.13%,1412.67,核心链路
